CLUSTER-0{size: 337, centroid: 273}
CLUSTER-1{size: 2, centroid: 97}
CLUSTER-2{size: 5, centroid: 240}
CLUSTER-3{size: 3, centroid: 197}
CLUSTER-4{size: 6, centroid: 47}
CLUSTER-5{size: 3, centroid: 424}
CLUSTER-6{size: 1, centroid: 87}
CLUSTER-7{size: 2, centroid: 82}
CLUSTER-8{size: 1, centroid: 446}
CLUSTER-9{size: 8, centroid: 143}
CLUSTER-10{size: 1, centroid: 223}
CLUSTER-11{size: 4, centroid: 179}
CLUSTER-12{size: 1, centroid: 246}
CLUSTER-13{size: 9, centroid: 239}
CLUSTER-14{size: 1, centroid: 41}
CLUSTER-15{size: 1, centroid: 474}
CLUSTER-16{size: 3, centroid: 221}
CLUSTER-17{size: 4, centroid: 115}
CLUSTER-18{size: 1, centroid: 323}
CLUSTER-19{size: 3, centroid: 491}
CLUSTER-20{size: 7, centroid: 245}
CLUSTER-21{size: 2, centroid: 102}
CLUSTER-22{size: 1, centroid: 243}
CLUSTER-23{size: 5, centroid: 142}
CLUSTER-24{size: 5, centroid: 364}
CLUSTER-25{size: 1, centroid: 89}
CLUSTER-26{size: 2, centroid: 60}
CLUSTER-27{size: 1, centroid: 369}
CLUSTER-28{size: 2, centroid: 222}
CLUSTER-29{size: 6, centroid: 385}
CLUSTER-30{size: 1, centroid: 414}
CLUSTER-31{size: 3, centroid: 150}
CLUSTER-32{size: 37, centroid: 309}
CLUSTER-33{size: 1, centroid: 202}
CLUSTER-34{size: 3, centroid: 225}
CLUSTER-35{size: 2, centroid: 29}
CLUSTER-36{size: 1, centroid: 15}
CLUSTER-37{size: 4, centroid: 445}
CLUSTER-38{size: 1, centroid: 261}
CLUSTER-39{size: 1, centroid: 80}
CLUSTER-40{size: 2, centroid: 418}
CLUSTER-41{size: 2, centroid: 419}
CLUSTER-42{size: 2, centroid: 76}
CLUSTER-43{size: 2, centroid: 447}
CLUSTER-44{size: 2, centroid: 108}
CLUSTER-45{size: 2, centroid: 316}
CLUSTER-46{size: 2, centroid: 345}
CLUSTER-47{size: 3, centroid: 48}
CLUSTER-48{size: 1, centroid: 290}
CLUSTER-49{size: 1, centroid: 218}
CLUSTER-0{size: 276, centroid: 1}
CLUSTER-1{size: 2, centroid: 2}
CLUSTER-2{size: 10, centroid: 3}
CLUSTER-3{size: 6, centroid: 4}
CLUSTER-4{size: 11, centroid: 5}
CLUSTER-5{size: 4, centroid: 6}
CLUSTER-6{size: 1, centroid: 7}
CLUSTER-7{size: 2, centroid: 8}
CLUSTER-8{size: 1, centroid: 9}
CLUSTER-9{size: 8, centroid: 10}
CLUSTER-10{size: 1, centroid: 11}
CLUSTER-11{size: 5, centroid: 12}
CLUSTER-12{size: 1, centroid: 13}
CLUSTER-13{size: 13, centroid: 14}
CLUSTER-14{size: 1, centroid: 15}
CLUSTER-15{size: 1, centroid: 16}
CLUSTER-16{size: 7, centroid: 17}
CLUSTER-17{size: 11, centroid: 18}
CLUSTER-18{size: 1, centroid: 19}
CLUSTER-19{size: 4, centroid: 20}
CLUSTER-20{size: 10, centroid: 21}
CLUSTER-21{size: 2, centroid: 22}
CLUSTER-22{size: 1, centroid: 23}
CLUSTER-23{size: 13, centroid: 24}
CLUSTER-24{size: 7, centroid: 25}
CLUSTER-25{size: 1, centroid: 26}
CLUSTER-26{size: 2, centroid: 27}
CLUSTER-27{size: 1, centroid: 28}
CLUSTER-28{size: 2, centroid: 29}
CLUSTER-29{size: 6, centroid: 30}
CLUSTER-30{size: 1, centroid: 31}
CLUSTER-31{size: 4, centroid: 32}
CLUSTER-32{size: 43, centroid: 33}
CLUSTER-33{size: 1, centroid: 34}
CLUSTER-34{size: 4, centroid: 35}
CLUSTER-35{size: 3, centroid: 36}
CLUSTER-36{size: 1, centroid: 37}
CLUSTER-37{size: 7, centroid: 38}
CLUSTER-38{size: 1, centroid: 39}
CLUSTER-39{size: 1, centroid: 40}
CLUSTER-40{size: 2, centroid: 41}
CLUSTER-41{size: 2, centroid: 42}
CLUSTER-42{size: 2, centroid: 43}
CLUSTER-43{size: 2, centroid: 44}
CLUSTER-44{size: 3, centroid: 45}
CLUSTER-45{size: 3, centroid: 46}
CLUSTER-46{size: 4, centroid: 47}
CLUSTER-47{size: 4, centroid: 48}
CLUSTER-48{size: 1, centroid: 49}
CLUSTER-49{size: 1, centroid: 50}
CLUSTER-0{size: 247, centroid: 51}
CLUSTER-1{size: 2, centroid: 52}
CLUSTER-2{size: 10, centroid: 53}
CLUSTER-3{size: 6, centroid: 54}
CLUSTER-4{size: 11, centroid: 55}
CLUSTER-5{size: 4, centroid: 56}
CLUSTER-6{size: 1, centroid: 57}
CLUSTER-7{size: 2, centroid: 58}
CLUSTER-8{size: 1, centroid: 59}
CLUSTER-9{size: 8, centroid: 60}
CLUSTER-10{size: 1, centroid: 61}
CLUSTER-11{size: 5, centroid: 62}
