CLUSTER-0{size: 60, centroid: 2356}
CLUSTER-1{size: 13, centroid: 609}
CLUSTER-2{size: 9, centroid: 2965}
CLUSTER-3{size: 2268, centroid: 4873}
CLUSTER-4{size: 24, centroid: 1122}
CLUSTER-5{size: 44, centroid: 1128}
CLUSTER-6{size: 20, centroid: 4176}
CLUSTER-7{size: 15, centroid: 3589}
CLUSTER-8{size: 15, centroid: 4432}
CLUSTER-9{size: 34, centroid: 1935}
CLUSTER-10{size: 1, centroid: 2736}
CLUSTER-11{size: 33, centroid: 4426}
CLUSTER-12{size: 260, centroid: 2132}
CLUSTER-13{size: 18, centroid: 1876}
CLUSTER-14{size: 23, centroid: 1994}
CLUSTER-15{size: 4, centroid: 138}
CLUSTER-16{size: 29, centroid: 677}
CLUSTER-17{size: 569, centroid: 998}
CLUSTER-18{size: 841, centroid: 3150}
CLUSTER-19{size: 15, centroid: 546}
CLUSTER-20{size: 12, centroid: 1532}
CLUSTER-21{size: 47, centroid: 3585}
CLUSTER-22{size: 7, centroid: 3391}
CLUSTER-23{size: 9, centroid: 4403}
CLUSTER-24{size: 6, centroid: 4216}
CLUSTER-25{size: 5, centroid: 4066}
CLUSTER-26{size: 12, centroid: 3442}
CLUSTER-27{size: 10, centroid: 660}
CLUSTER-28{size: 16, centroid: 2366}
CLUSTER-29{size: 5, centroid: 838}
CLUSTER-30{size: 71, centroid: 1973}
CLUSTER-31{size: 49, centroid: 3001}
CLUSTER-32{size: 10, centroid: 4680}
CLUSTER-33{size: 26, centroid: 3728}
CLUSTER-34{size: 10, centroid: 2709}
CLUSTER-35{size: 29, centroid: 3784}
CLUSTER-36{size: 15, centroid: 3479}
CLUSTER-37{size: 50, centroid: 3768}
CLUSTER-38{size: 36, centroid: 1225}
CLUSTER-39{size: 9, centroid: 2389}
CLUSTER-40{size: 32, centroid: 587}
CLUSTER-41{size: 27, centroid: 3875}
CLUSTER-42{size: 5, centroid: 1571}
CLUSTER-43{size: 10, centroid: 2910}
CLUSTER-44{size: 24, centroid: 2645}
CLUSTER-45{size: 7, centroid: 3964}
CLUSTER-46{size: 17, centroid: 1197}
CLUSTER-47{size: 92, centroid: 2279}
CLUSTER-48{size: 12, centroid: 1504}
CLUSTER-49{size: 45, centroid: 2443}
